cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,qtde_obito_all_covid,qtde_obito_sem_excl_covid,qtde_alta_complex_covid,mort_all_com_covid,mort_sem_excl_com_covid,tmp_com_covid,custo_saida_com_covid,pct_alta_complex_com_covid,qtde_sem_covid,dias_sem_covid,valor_sem_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pont_barcelona,faixa_barcelona,complexidade_estrutural,complexidade_pond_mort,modelo_gestao_proxy
8028,2015,,Público Municipal,Grande Porte,187,171,159,159,28,12,55197,4318,95.10984750581544,98.58447488584476,353440.0,Osasco,05 HOSPITAL GERAL,,1,8186.0,779.0,779.0,55197.0,6599542.650000021,1.0,0.0,0.0,0.0,3703,0,0.0,0.0,0.0,0.09516247251404837,0.09516247251404837,6.742853652577572,806.1987112142708,0.0001221597849987784,8186.0,55197.0,6599542.650000021,0.09516247251404837,0.09516247251404837,6.742853652577572,806.1987112142708,0.0001221597849987784,346.0,4.0,346.0,994.6134088136446,Público Municipal
8036,2015,,Público Municipal,Grande Porte,167,167,155,155,12,12,32141,3993,56.81131241714538,91.16438356164385,353440.0,Osasco,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,7514.0,36.0,35.0,32141.0,6004163.560000016,0.0,0.0,0.0,0.0,444,0,0.0,0.0,0.0,0.004791056694170881,0.004657971785999467,4.277482033537397,799.0635560287485,0.0,7514.0,32141.0,6004163.560000016,0.004791056694170881,0.004657971785999467,4.277482033537397,799.0635560287485,0.0,260.0,4.0,260.0,284.5385425466665,Público Municipal
8052,2015,,Direta,Grande Porte,212,212,202,202,10,10,43742,2874,59.327275193272754,78.73972602739725,353440.0,Osasco,05 HOSPITAL GERAL,,1,4832.0,555.0,555.0,43742.0,4975262.940000005,360.0,0.0,0.0,0.0,2475,0,0.0,0.0,0.0,0.1148592715231788,0.1148592715231788,9.052566225165563,1029.6487872516566,0.07450331125827815,4832.0,43742.0,4975262.940000005,0.1148592715231788,0.1148592715231788,9.052566225165563,1029.6487872516566,0.07450331125827815,479.0,4.0,479.0,1562.7913422777913,Direta
8923,2015,,Público Municipal,Grande Porte,251,244,208,208,43,36,85929,13237,113.1836143308746,100.73820395738204,354780.0,Santo Andre,05 HOSPITAL GERAL,,1,11525.0,792.0,792.0,85929.0,19782775.910000097,547.0,0.0,0.0,0.0,5210,0,0.0,0.0,0.0,0.06872017353579175,0.06872017353579175,7.45587852494577,1716.50984034708,0.04746203904555314,11525.0,85929.0,19782775.910000097,0.06872017353579175,0.06872017353579175,7.45587852494577,1716.50984034708,0.04746203904555314,565.0,5.0,565.0,1329.850934786236,Público Municipal
9601,2015,,Filantrópico,Médio Porte,82,53,69,41,13,12,15401,4279,102.91346475108588,97.69406392694064,354990.0,Sao Jose Dos Campos,05 HOSPITAL GERAL,,1,2851.0,210.0,210.0,15401.0,11962766.949999996,1604.0,0.0,0.0,0.0,1456,0,0.0,0.0,0.0,0.07365836548579446,0.07365836548579446,5.401964223079621,4195.989810592773,0.5626096106629253,2851.0,15401.0,11962766.949999996,0.07365836548579446,0.07365836548579446,5.401964223079621,4195.989810592773,0.5626096106629253,141.0,3.0,141.0,345.590421245142,Filantrópico
9628,2015,,Público Municipal,Grande Porte,360,360,308,308,52,52,121812,14992,108.3543853406867,78.98840885142255,354990.0,Sao Jose Dos Campos,05 HOSPITAL GERAL,,1,21287.0,1375.0,1375.0,121812.0,23591257.09000013,807.0,0.0,0.0,0.0,7281,0,0.0,0.0,0.0,0.06459341382064171,0.06459341382064171,5.722365763141823,1108.2471503734735,0.037910461784187534,21287.0,121812.0,23591257.09000013,0.06459341382064171,0.06459341382064171,5.722365763141823,1108.2471503734735,0.037910461784187534,713.0,5.0,713.0,1620.239340731613,Público Municipal
2022621,2015,,Filantrópico,Grande Porte,217,117,175,92,42,25,26488,5430,78.88028588445503,59.50684931506849,350950.0,Campinas,05 HOSPITAL GERAL,,1,7926.0,24.0,24.0,26488.0,8575545.899999997,1.0,0.0,0.0,0.0,622,0,0.0,0.0,0.0,0.003028009084027252,0.003028009084027252,3.341912692404744,1081.9512869038604,0.00012616704516780217,7926.0,26488.0,8575545.899999997,0.003028009084027252,0.003028009084027252,3.341912692404744,1081.9512869038604,0.00012616704516780217,242.0,3.0,242.0,256.43499527822996,Filantrópico
2022648,2015,,Filantrópico,Médio Porte,115,63,98,62,17,1,7797,329,34.45426425099426,90.13698630136986,350950.0,Campinas,05 HOSPITAL GERAL,,1,840.0,97.0,97.0,7797.0,449160.5499999999,0.0,0.0,0.0,0.0,322,0,0.0,0.0,0.0,0.11547619047619048,0.11547619047619048,9.282142857142857,534.7149404761903,0.0,840.0,7797.0,449160.5499999999,0.11547619047619048,0.11547619047619048,9.282142857142857,534.7149404761903,0.0,156.0,3.0,156.0,510.8633540372671,Filantrópico
2023016,2015,,Filantrópico,Médio Porte,73,55,73,55,0,0,8269,0,41.19053549190536,0.0,350940.0,Cajuru,05 HOSPITAL GERAL,,1,2288.0,66.0,66.0,8269.0,935619.9100000024,0.0,0.0,0.0,0.0,1073,0,0.0,0.0,0.0,0.028846153846153848,0.028846153846153848,3.6140734265734267,408.92478583916187,0.0,2288.0,8269.0,935619.9100000024,0.028846153846153848,0.028846153846153848,3.6140734265734267,408.92478583916187,0.0,109.0,2.0,109.0,170.93819140725495,Filantrópico
2023474,2015,,Público Municipal,Médio Porte,78,78,78,78,0,0,10173,0,35.732349841938884,0.0,352470.0,Jaguariuna,05 HOSPITAL GERAL,,1,3186.0,115.0,115.0,10173.0,1683246.3000000026,0.0,0.0,0.0,0.0,1427,0,0.0,0.0,0.0,0.03609541745134966,0.03609541745134966,3.1930320150659135,528.3258945386073,0.0,3186.0,10173.0,1683246.3000000026,0.03609541745134966,0.03609541745134966,3.1930320150659135,528.3258945386073,0.0,227.0,3.0,227.0,388.4068762373847,Público Municipal
